countryCode,countryName,indicatorCode,indicatorName,data,error
DZA,Algeria,NY.GDP.MKTP.CD,GDP (current US$),"{'1960': 2723615449.12903, '1961': 2434747053.99859, '1962': 2001444542.3228, '1963': 2702982015.48253, '1964': 2909316432.96736, '1965': 3136284304.35366, '1966': 3039859185.0275, '1967': 3370870373.60872, '1968': 3852147023.70112, '1969': 4257253260.6934, '1970': 4863526892.69565, '1971': 5077182745.7479, '1972': 6766744027.55197, '1973': 8707858006.19387, '1974': 13209871629.0641, '1975': 15557901444.8724, '1976': 17728240936.5735, '1977': 20972112004.1893, '1978': 26364491320.0949, '1979': 33243709744.0899, '1980': 42345829090.2411, '1981': 44348587045.922, '1982': 45207170761.6458, '1983': 48801369810.5583, '1984': 53698548297.5643, '1985': 57937868670.1937, '1986': 63692012412.3215, '1987': 66745822963.0787, '1988': 59089400190.4837, '1989': 55634719135.3597, '1990': 62048505222.3414, '1991': 45715676428.2766, '1992': 48003133346.9957, '1993': 49945585165.7899, '1994': 42543177031.1723, '1995': 41764291963.8532, '1996': 46941553939.5593, '1997': 48177612042.1507, '1998': 48187781711.0308, '1999': 48640671734.9711, '2000': 54790398813.0005, '2001': 54744698044.2331, '2002': 56760355865.0082, '2003': 67863850333.9526, '2004': 85332581188.6107, '2005': 103198211973.242, '2006': 117027280692.356, '2007': 134977082623.78, '2008': 171000699876.747, '2009': 137211004291.274, '2010': 161207306304.794, '2011': 200013097903.17, '2012': 209059081828.261, '2013': 209755003250.664, '2014': 213809980720.787, '2015': 165979224316.667, '2016': 160034212613.438, '2017': 170096989042.831, '2018': 174910891124.491, '2019': 171760290068.157, '2020': 145743722826.258, '2021': 163472233245.77, '2022': 191912889420.911}",
AGO,Angola,NY.GDP.MKTP.CD,GDP (current US$),"{'1960': None, '1961': None, '1962': None, '1963': None, '1964': None, '1965': None, '1966': None, '1967': None, '1968': None, '1969': None, '1970': None, '1971': None, '1972': None, '1973': None, '1974': None, '1975': None, '1976': None, '1977': None, '1978': None, '1979': None, '1980': 5930503400.96263, '1981': 5550483035.96497, '1982': 5550483035.96497, '1983': 5784341596.36339, '1984': 6131475065.17815, '1985': 7554065410.121, '1986': 7072536108.69711, '1987': 8084412414.26566, '1988': 8769836768.83482, '1989': 10201780976.6696, '1990': 11229515599.3048, '1991': 12704558516.5916, '1992': 15114352005.3033, '1993': 11051939101.56, '1994': 3390500000, '1995': 5561222222.22222, '1996': 7526963963.96396, '1997': 7648377412.83277, '1998': 6506229607.29432, '1999': 6152922942.98032, '2000': 9129594818.60749, '2001': 8936079252.77131, '2002': 15285592487.4237, '2003': 17812704626.2324, '2004': 23552057820.4599, '2005': 36970901025.2032, '2006': 52381025105.2177, '2007': 65266415706.9741, '2008': 88538664888.1983, '2009': 70307196477.0815, '2010': 81699526880.8079, '2011': 109436566876.419, '2012': 124998210652.243, '2013': 133401582620.494, '2014': 137244439121.374, '2015': 87219300384.5072, '2016': 49840491178.1518, '2017': 68972769395.6274, '2018': 77792944471.9494, '2019': 69309110145.7687, '2020': 50241368243.6314, '2021': 65685435100.4986, '2022': 106713618735.434}",
BEN,Benin,NY.GDP.MKTP.CD,GDP (current US$),"{'1960': 226195578.067006, '1961': 235668220.872225, '1962': 236434954.341059, '1963': 253927697.573028, '1964': 269819005.7911, '1965': 289908680.180676, '1966': 302925235.697428, '1967': 306221953.364724, '1968': 326323105.58513, '1969': 330748244.092696, '1970': 333627713.462036, '1971': 335073027.92408, '1972': 410331856.237969, '1973': 504376074.065261, '1974': 554654861.53714, '1975': 676870139.263848, '1976': 698408261.141673, '1977': 750049780.163916, '1978': 928843468.468714, '1979': 1186231018.35731, '1980': 1405251843.78221, '1981': 1291120190.56764, '1982': 1267778671.52033, '1983': 1095348199.36832, '1984': 1051134009.29975, '1985': 1045712789.8201, '1986': 1336102026.99646, '1987': 1562412225.8134, '1988': 1620246084.77733, '1989': 1502294413.87362, '1990': 1959965330.47596, '1991': 1986437797.87672, '1992': 1695315305.70308, '1993': 2274558078.74486, '1994': 1598075944.85876, '1995': 2169627138.34967, '1996': 2361116448.13525, '1997': 2268301645.09367, '1998': 2455092688.14767, '1999': 3677393996.83788, '2000': 3519991440.32367, '2001': 3666222633.8361, '2002': 4194342689.26284, '2003': 5349258092.89147, '2004': 6190270377.07583, '2005': 6567654958.75337, '2006': 7034111316.29951, '2007': 8169048374.70846, '2008': 9787734516.74186, '2009': 9738626509.93368, '2010': 9535345011.48728, '2011': 10693321370.0352, '2012': 11141358105.9864, '2013': 12517845127.6766, '2014': 13284527850.2627, '2015': 11388160997.1088, '2016': 11821065852.127, '2017': 12701655845.9622, '2018': 14262408079.7005, '2019': 14391686309.0337, '2020': 15651545208.8771, '2021': 17690083519.9322, '2022': 17401746309.266}",
BWA,Botswana,NY.GDP.MKTP.CD,GDP (current US$),"{'1960': 30411418.6788295, '1961': 32902592.8362861, '1962': 35644931.942153, '1963': 38091832.9893847, '1964': 41616368.3159934, '1965': 45788670.6930146, '1966': 51465624.4090769, '1967': 58642385.2376744, '1968': 66248426.9941409, '1969': 77361532.9935123, '1970': 96243298.1393833, '1971': 127448656.125605, '1972': 164460827.506605, '1973': 244124115.653176, '1974': 306044205.922122, '1975': 355168715.375176, '1976': 372025093.434102, '1977': 451624959.61005, '1978': 590407375.160033, '1979': 819870595.111537, '1980': 1060889705.11871, '1981': 1073812403.80662, '1982': 1014945860.82549, '1983': 1172230575.57996, '1984': 1240821849.27576, '1985': 1114783538.17406, '1986': 1392602040.14794, '1987': 1965227085.13155, '1988': 2644554881.84186, '1989': 3083822367.10683, '1990': 3790636664.02546, '1991': 3942877353.59054, '1992': 4146464586.61674, '1993': 4160129174.70569, '1994': 4259258810.89328, '1995': 4730599690.73974, '1996': 4847757703.86629, '1997': 5020265168.28901, '1998': 4790481509.17679, '1999': 5484263050.39562, '2000': 5788329609.15755, '2001': 5489608299.66445, '2002': 5438864269.39361, '2003': 7511582173.37724, '2004': 8957467706.5354, '2005': 9918907108.09702, '2006': 9919158482.41085, '2007': 10567270655.5027, '2008': 10730828592.459, '2009': 10118459713.7024, '2010': 12637273429.1339, '2011': 15110642875.5965, '2012': 13907464500.1489, '2013': 14271738366.7917, '2014': 15470087926.2484, '2015': 13530749289.7861, '2016': 15082636722.856, '2017': 16105156375.5848, '2018': 17031943186.1353, '2019': 16725908661.9419, '2020': 14960291540.5283, '2021': 18737066306.9659, '2022': 20352322157.1467}",
BFA,Burkina Faso,NY.GDP.MKTP.CD,GDP (current US$),"{'1960': 330442815.284328, '1961': 350247234.801719, '1962': 379567099.735017, '1963': 394040667.595114, '1964': 410321644.832548, '1965': 422916789.389845, '1966': 433889767.020676, '1967': 450753923.930489, '1968': 460442689.828422, '1969': 478298644.747585, '1970': 458404268.71745, '1971': 482411179.672461, '1972': 578595520.928003, '1973': 674773569.716408, '1974': 751133431.579496, '1975': 939972701.96644, '1976': 976547186.963356, '1977': 1131224880.18434, '1978': 1475583643.40628, '1979': 1748480618.36735, '1980': 1928719884.42114, '1981': 1775842336.50916, '1982': 1754450097.84433, '1983': 1600278605.15123, '1984': 1459880132.84934, '1985': 1552493197.28083, '1986': 2036303360.30075, '1987': 2369834946.56655, '1988': 2616040480.57952, '1989': 2615587729.97265, '1990': 3101300779.08364, '1991': 3135045586.20845, '1992': 3356692508.3457, '1993': 3199536459.58343, '1994': 1895290638.27038, '1995': 2379517975.75103, '1996': 2586550594.03222, '1997': 2447669100.46978, '1998': 2804902369.20398, '1999': 3389566710.90266, '2000': 2968370087.46649, '2001': 3190371079.81411, '2002': 3622350065.5903, '2003': 4740768141.265, '2004': 5451688534.59524, '2005': 6146353177.43367, '2006': 6547419821.69486, '2007': 7625722829.17892, '2008': 9451435480.94322, '2009': 9450696866.48276, '2010': 10109619736.1442, '2011': 12080295984.7682, '2012': 12561015145.3925, '2013': 13444300489.8634, '2014': 13943016080.2646, '2015': 11832159315.9778, '2016': 12833363043.9719, '2017': 14106955625.3571, '2018': 15890066209.8959, '2019': 16178161666.1334, '2020': 17933606212.6294, '2021': 19737616003.022, '2022': 18884619613.4388}",
BDI,Burundi,NY.GDP.MKTP.CD,GDP (current US$),"{'1960': 195999989.80792, '1961': 202999991.80106, '1962': 213500005.79077, '1963': 232749997.771905, '1964': 260750007.744465, '1965': 158994962.811977, '1966': 165444571.263127, '1967': 178297142.678846, '1968': 183199999.8168, '1969': 190205714.095509, '1970': 242732571.185839, '1971': 252842285.482514, '1972': 246804571.428571, '1973': 304339839.552146, '1974': 345263492.063492, '1975': 420986666.666667, '1976': 448412753.623188, '1977': 547535555.555556, '1978': 610225555.555556, '1979': 782496666.666667, '1980': 919726666.666667, '1981': 969046666.666667, '1982': 1013222222.22222, '1983': 1082926304.46477, '1984': 987143931.166987, '1985': 1149979285.77347, '1986': 1201725497.06578, '1987': 1131466494.01101, '1988': 1082403219.48787, '1989': 1113924130.41149, '1990': 1132101252.51817, '1991': 1167398478.3459, '1992': 1083037670.60484, '1993': 938632612.026359, '1994': 925030590.153683, '1995': 1000428393.88528, '1996': 869033856.317093, '1997': 972896267.915425, '1998': 893770739.54206, '1999': 808077223.365746, '2000': 870486065.883137, '2001': 876794723.068586, '2002': 825394519.71933, '2003': 784654423.620476, '2004': 915257323.3961, '2005': 1117113080.08074, '2006': 1273375078.44844, '2007': 1356199386.79629, '2008': 1611835856.59275, '2009': 1781455140.34202, '2010': 2032135191.46211, '2011': 2235820808.72908, '2012': 2333341334.45753, '2013': 2451606631.76696, '2014': 2705783330.38796, '2015': 3104003545.60675, '2016': 2644487777.23693, '2017': 2723586962.18686, '2018': 2667182198.97925, '2019': 2576518879.39881, '2020': 2649680261.01097, '2021': 2775798697.16485, '2022': 3073414677.84385}",
CPV,Cabo Verde,NY.GDP.MKTP.CD,GDP (current US$),"{'1960': None, '1961': None, '1962': None, '1963': None, '1964': None, '1965': None, '1966': None, '1967': None, '1968': None, '1969': None, '1970': None, '1971': None, '1972': None, '1973': None, '1974': None, '1975': None, '1976': None, '1977': None, '1978': None, '1979': None, '1980': 142246816.528777, '1981': 139468210.073782, '1982': 140630678.181534, '1983': 138476174.97807, '1984': 132019039.110872, '1985': 137728205.315258, '1986': 190651168.352328, '1987': 235253063.627687, '1988': 264308140.285149, '1989': 267448570.271348, '1990': 306890961.188801, '1991': 319827058.592875, '1992': 357160985.327413, '1993': 490417389.682569, '1994': 406580652.330537, '1995': 487148993.533109, '1996': 501979271.869894, '1997': 490608657.924976, '1998': 521910560.524868, '1999': 592416703.058878, '2000': 539227277.626411, '2001': 563090488.854022, '2002': 620507385.702206, '2003': 813260468.873834, '2004': 924940012.85542, '2005': 972241682.104792, '2006': 1107571459.02306, '2007': 1649621735.41343, '2008': 1959620652.50746, '2009': 1852334581.47534, '2010': 1824751459.69304, '2011': 2046817974.90838, '2012': 1913081206.32052, '2013': 2028910915.16446, '2014': 2041930125.42979, '2015': 1749857628.40716, '2016': 1849789992.74328, '2017': 1996741544.61549, '2018': 2205099509.15921, '2019': 2266752197.42617, '2020': 1878277311.2253, '2021': 2091741774.10772, '2022': 2314816792.06291}",
CMR,Cameroon,NY.GDP.MKTP.CD,GDP (current US$),"{'1960': 614206067.499389, '1961': 652777609.328803, '1962': 694247865.267079, '1963': 718320845.935362, '1964': 776650176.653918, '1965': 814083264.821428, '1966': 851112536.085105, '1967': 936175260.825215, '1968': 1046191218.82653, '1969': 1100551487.13992, '1970': 1151216992.76914, '1971': 1236941395.528, '1972': 1498251886.91252, '1973': 1901393360.56876, '1974': 2157415535.79412, '1975': 2857037366.51002, '1976': 2898089998.6172, '1977': 3394664030.04384, '1978': 4662852578.29818, '1979': 5919002975.30133, '1980': 6674569033.58218, '1981': 6610938627.60437, '1982': 6611255969.89189, '1983': 6870200009.45663, '1984': 7311938029.91455, '1985': 8544810503.47403, '1986': 11857056214.3301, '1987': 13049659963.7047, '1988': 12236057369.912, '1989': 11012566178.1825, '1990': 12314482629.9082, '1991': 11840192304.4132, '1992': 12071775346.4187, '1993': 16181814683.9551, '1994': 8902446257.70445, '1995': 10864772473.0524, '1996': 11093538840.5385, '1997': 10789458426.1088, '1998': 11298144998.6965, '1999': 11565826458.8945, '2000': 10566579294.5164, '2001': 10953485345.2216, '2002': 12417251341.6032, '2003': 15970315030.2406, '2004': 18826214125.2325, '2005': 19509852219.3298, '2006': 20910512978.1716, '2007': 23928250410.0588, '2008': 27715142005.5704, '2009': 27932970297.0644, '2010': 27507501809.2414, '2011': 30630910513.0616, '2012': 30155062302.8443, '2013': 33728621190.2114, '2014': 36386544716.0794, '2015': 32210233021.5735, '2016': 33814337040.7804, '2017': 36098547058.7877, '2018': 39973842058.565, '2019': 39670976440.3158, '2020': 40773241211.6941, '2021': 45338285386.1044, '2022': 44341646509.2193}",
CAF,Central African Republic,NY.GDP.MKTP.CD,GDP (current US$),"{'1960': 112155598.309943, '1961': 123134583.653758, '1962': 124482773.992316, '1963': 129379123.923536, '1964': 142025078.689939, '1965': 150574795.28224, '1966': 157930018.375448, '1967': 163820513.701425, '1968': 191767441.792847, '1969': 188039209.876317, '1970': 189106529.188645, '1971': 201450800.056561, '1972': 230317882.941633, '1973': 271183081.978302, '1974': 281398705.994003, '1975': 378660015.663052, '1976': 451152460.808537, '1977': 507298148.421506, '1978': 610578631.359943, '1979': 700764746.892119, '1980': 797048196.970408, '1981': 694803624.048757, '1982': 748312391.442075, '1983': 658679332.638761, '1984': 637820670.609046, '1985': 864849836.841362, '1986': 1122265014.86379, '1987': 1200991976.20364, '1988': 1264899288.27967, '1989': 1233930279.03002, '1990': 1440711459.411, '1991': 1377374987.52052, '1992': 1411917554.45482, '1993': 1278781259.30117, '1994': 851174357.309582, '1995': 1115389673.9125, '1996': 1007791126.56226, '1997': 937741512.447574, '1998': 967338390.360019, '1999': 999477510.686632, '2000': 916777282.651168, '2001': 932648604.420575, '2002': 996068145.608021, '2003': 1142315522.1989, '2004': 1272360516.62022, '2005': 1337894379.62649, '2006': 1461859762.62791, '2007': 1699811293.2576, '2008': 1993407886.56402, '2009': 2067381663.75378, '2010': 2142591539.43526, '2011': 2437982706.57499, '2012': 2510126509.99501, '2013': 1691544110.6915, '2014': 1894813389.88175, '2015': 1695825714.2427, '2016': 1825018144.46187, '2017': 2072349974.15272, '2018': 2220979144.52008, '2019': 2221301350.75537, '2020': 2326720902.35741, '2021': 2516498412.31361, '2022': 2382618615.3562}",
TCD,Chad,NY.GDP.MKTP.CD,GDP (current US$),"{'1960': 313582727.638108, '1961': 333975336.626596, '1962': 357635713.876858, '1963': 371767002.656036, '1964': 392247517.601949, '1965': 416926302.963495, '1966': 432794922.459758, '1967': 449826322.995107, '1968': 453980096.65441, '1969': 471635620.924366, '1970': 469266736.605101, '1971': 501866730.722503, '1972': 585427545.723598, '1973': 647199482.827982, '1974': 652532796.06664, '1975': 864602103.303074, '1976': 866044961.048354, '1977': 935360466.351488, '1978': 1113920122.61233, '1979': 1004316495.11175, '1980': 1033002401.82543, '1981': 876937559.724951, '1982': 834369860.427317, '1983': 832415805.956265, '1984': 919103735.322904, '1985': 1033069709.99506, '1986': 1067828247.23579, '1987': 1163426850.65024, '1988': 1482597298.88729, '1989': 1433686309.83641, '1990': 1738605558.05436, '1991': 1877137983.02923, '1992': 1881847671.47122, '1993': 1463251161.33494, '1994': 1179837963.95379, '1995': 1445919894.86249, '1996': 1607345354.92671, '1997': 1544689575.99186, '1998': 1744794532.49364, '1999': 1534673583.2487, '2000': 1388506771.52623, '2001': 1710843376.39331, '2002': 1997005710.26555, '2003': 2742815070.75867, '2004': 4422855658.38043, '2005': 6649307528.06238, '2006': 7428701455.40565, '2007': 8650137734.71637, '2008': 10393833755.2791, '2009': 9290728312.24383, '2010': 10668103549.3123, '2011': 12172308858.2993, '2012': 12367362746.1307, '2013': 12953534870.304, '2014': 13940767222.1053, '2015': 10950392257.2764, '2016': 10097778097.0969, '2017': 10000394388.1158, '2018': 11239167890.2816, '2019': 11314951088.2451, '2020': 10715396051.4388, '2021': 11779981332.1599, '2022': 12704149842.0373}",
